name;localisation;price;area;rooms
Nowa kawalerka przy ul Ks. Witolda; Stare Miasto;2800;26.0;1
Mieszkanie - 2 poziomowe - Oporow, Wroclaw; Fabryczna;3500;62.0;2
Kawalerka centrum Wrocławia; Śródmieście;2700;30.0;1
Kawalerka po remoncie, centrum, przestronna; Śródmieście;1900;25.81;1
Apartament /3 pokoje/ - Wysoki Standard/Klimatyzac; Fabryczna;5800;80.0;3
2 pokoje 42 m Klecina Krzyki Wrocław bezpośrednio; Krzyki;2800;42.0;2
ul.Litewska ,3pokoje, Psie Pole; Psie Pole;2200;63.0;3
przyjazne zwierzętom ciepłe energoosz. wyposażone; Krzyki;2500;46.0;2
Mieszkanie przy Uwr, pl. Nowy Targ! Ścisłe Centrum; Stare Miasto;3000;53.0;3
REZERWACJA mieszkanie 3 pok przy Dworcu Główny; Krzyki;2750;47.0;3
Bez prowizji Centrum Wrocław 2800 zl; Stare Miasto;2800;58.0;2
miejsce w pokoju, pl. Dominikański; Stare Miasto;1100;118.0;3
duże mieszkanie 3 pokoje balkon, pl. Dominikański; Stare Miasto;6500;118.0;3
Nowe klimatyzowane mieszkanie 90 m2 w domu wolnost; Psie Pole;4000;90.0;4
Świetne wynajmę! Stan idealny! Wyposażone!; Fabryczna;2900;42.16;2
Nowe klimatyzowane mieszkanie 80 m2 w domu wolnost; Psie Pole;3700;80.0;3
Mieszkanie, 72 m², Wrocław; Krzyki;3000;72.0;3
Przestronne 50m2/ Wysoki standard/ Klima/ Garaż; Psie Pole;3500;50.0;2
Klimatyczne 4-pokojowe mieszkanie w kamienicy; Śródmieście;5000;83.0;4
Dwupoziomowe, duże i przestronne z balkonem; Krzyki;6800;104.0;4
Apartament 137mkw przy Browarze Wrocławskim; Śródmieście;7000;137.0;4
Mieszkanie, 26 m², Wrocław; Krzyki;2300;26.0;1
Rynek!/Pierwszy Najem!; Rynek;4300;53.0;2
3 pokoje/osobna kuchnia/ul. Prosta; Stare Miasto;4100;63.18;3
3pokojowe mieszkanie na Popowicach rozkład; Fabryczna;3200;55.0;3
Mieszkanie wynajmę na miesiąc /dwa/długi termin; Krzyki;3400;45.0;2
2 pok | Park | Klecina; Krzyki;2000;36.52;2
Mieszkanie wynajmę na miesiąc /dwa/długi termin; Krzyki;2500;37.0;1
do wynajęcia mieszkanie 2 pokojowe Komandorska; Krzyki;2000;42.0;2
3 pokojowy apartament, ścisłe centrum, parking; Śródmieście;4900;64.0;3
Do wynajęcia 2 pok. z oddzielną kuchnią Gądów; Fabryczna;2300;41.6;2
2 miejsca postojowe, oddzielna kuchnia, Zatorska; Psie Pole;2700;57.32;2
Piekny Apartament Loft, 115m, Centrum; Stare Miasto;9000;115.0;4
Wynajmę nowoczesny Apartament - Kleczków; Psie Pole;3300;40.0;1
Śródmieście - ul. Jaracza ,2 pokojowe do wynajęcia; Śródmieście;2300;47.0;2
Do Wynajęcia mieszk. 64m2 3 pokoje Pl.Grunwaldz; Śródmieście;3300;64.0;3
Zaciszne 4 pokoje, ul. Piękna, parking, klima; Krzyki;5000;84.0;4
ul. Piękna, Dwustronne, 3 pokoje + balkon; Krzyki;4000;60.0;3
Szczepin!_Kawalerka_27m2_Piwnica_Centrum!; Stare Miasto;2100;27.0;1
PL.GRUNWALDZKI mieszkanie 78m2 5 pokoi 2 łazienki; Śródmieście;4300;78.0;5
Mieszkanie z garażem 2pokoje W-aw, ul.Skrzydlata; Fabryczna;3000;50.0;2
2 pokoje, osobna kuchnia- Gaj; Krzyki;2400;40.23;2
Nowy apartament na Dmowskiego - Kępa Park; Śródmieście;3400;45.0;2
Komfortowe, nowe, Magnolia, bezpośrednio, parking; Fabryczna;3500;46.5;2
39 m2, miejsce postojowe, komórka lok., balkon; Stare Miasto;2500;39.0;1
Lux - Centrum Apartament - Luxusowy; dolnośląskie;2750;42.0;2
Dwupokojowe mieszkanie w wysokim standardzie; Śródmieście;3600;36.0;2
Mieszkanie - dwa pokoje i kuchnia 41m2 ul Opolska; Krzyki;3000;41.24;2
3 pokoje / idealne dla studentów / blisko Ue; Krzyki;3000;55.0;3
Wynajmę nowe Mieszkanie 1 pokojowe z parkingiem; Fabryczna;2100;33.0;1
38m2,Pl.Bema,Apartament Komfort/1bedroom,max.2os; Śródmieście;3200;38.0;2
Mieszkanie 3-pokojowe w centrum | Od 01.08.2022; Stare Miasto;3600;64.0;3
3pok*67m2*Od zaraz*Balzaka*Oporów; Fabryczna;4500;67.0;3
Komfortowe 3 pok Zakladowa/Promenady Wroc -Bezposr; Psie Pole;3200;58.0;3
Mieszkanie 2-pokojowe, w pełni rozkładowe; Psie Pole;2600;50.0;2
Wrocław Berenta/Micińskiego z GARAŻEM PODZIEMNYM; dolnośląskie;2900;60.0;2
Wynajmę mieszkanie 3-pok.o pow.67m2 Krzyki-Gaj; Krzyki;2600;67.0;3
Bezpośrednio - Grabiszyńska, apartament i garaż; Fabryczna;2490;34.0;1
2x parking w cenie, zwierzęta mile widziane; Krzyki;3300;65.0;3
M 3-pokojowe dla studentów lub rodziny. Balkon.; Stare Miasto;3380;55.0;3
M 2-pokoje rozkładowe dla studentów lub 2+2.; Stare Miasto;2900;45.0;2
M 1-pokojowe dla singla lub pary. Widok na patio.; Stare Miasto;2350;28.0;1
ATAL TOWERS kawalerka_rezerwacja; Stare Miasto;2100;30.0;1
Kawalerka z balkonem/Port Popowice/ 1 lipiec; Fabryczna;2500;31.0;1
dla 3 dorosłych osób, centrum, z parkingiem; Śródmieście;2800;52.0;3
Luksusowa kawalerka Wrocław 36m2 + garaż podziemny; Psie Pole;2300;36.0;1
Do wynajęcia Mieszkanie Apartament ul. Bierutowska; Psie Pole;2200;28.0;1
Mieszkanie do wynajęcia w centrum Wrocławia; Stare Miasto;3000;38.0;2
3-pok. Apartament _ widok na Odrę_2x garaż w cenie; Śródmieście;5500;66.0;3
Mieszkanie 58 m2 w cenie kawalerki - Muchobór Wiel; Fabryczna;2400;58.0;2
Nowe, 32 m2, z balkonem, ul. Kurkowa, Nadodrze; Śródmieście;2500;32.0;1
Nowe mieszkanie z miejscem postojowym jagodno; Krzyki;3500;45.0;2
Blisko Centrum, 2 Pok Z Balkonem, Grabiszyńska; Krzyki;3000;42.0;2
Eksluzywne mieszkanie na oporowie; Fabryczna;3900;64.0;4
Wolne od zaraz 3-pokoje Lokum di Trevi; Krzyki;3700;63.0;3
M 1-pokojowe dla singla lub pary. Widok na patio.; Stare Miasto;2350;28.0;1
Eksluzywne mieszkanie na oporowie; Fabryczna;3900;64.0;4
Wynajem mieszkanie 3 pokojowe ul. Zielińskiego; Krzyki;3500;50.0;3
2 pokjowe 48 m kw. Krzyki , garaż, blisko park; Krzyki;2800;48.0;2
2 pokojowe, 54m2, Śródmieście, Św.Wincentego-rezer; Nadodrze;2300;54.0;2
Nowa kawalerka dla 1-2 osób, Fabryczna; Fabryczna;1950;17.0;1
Nowa kawalerka 26 mkw, Krzyki, ul.S.Drabika 85; Krzyki;2300;26.0;1
Luxury Apartment In Krzyki; Krzyki;3500;55.0;2
Apartament - ks. Witolda/Rynek - wysoki standard; Śródmieście;2700;31.0;1
2-pokojowe, 51 m2 z balkonem Ołbińska / Plac Bema; Śródmieście;2600;51.0;2
Planty Raclawickie 40m2 klimatyzacja; Krzyki;3200;40.0;2
Ładne Mieszkanie W Komorowicach; Wrocław;2900;53.0;2
2 pok, piękny apartament w centrum Wrocławia! Bema; Śródmieście;4000;47.0;2
Mieszkanie 3 pokoje na wynajem wysoki standard; Krzyki;4499;58.0;3
ROGOWSKA, 75 m2, 3 pok, osobna kuchnia, Smart Home; Fabryczna;3700;75.0;3
Mieszkanie dwupokojowe w willi; Psie Pole;3500;60.0;2
Stylowy apartament widokiem na Odrę | 3 pokoje; Nadodrze;4900;64.0;3
Przytulne mieszkanie 2-pokojowe - Psie Pole; Psie Pole;2300;45.0;2
Mieszkanie - Wrocław Przedmieście Oławskie; Krzyki;2000;39.9;2
Nowa kawalerka przy ul Ks. Witolda; Stare Miasto;2800;26.0;1
ZAKŁADOWA, 2 pokoje + kuchnia, 51 m2, klimatyzacja; Śródmieście;3500;51.0;2
Аренда квартир в центре, без депозита, на месяц; Krzyki;6800;40.0;2
Umeblowane, 2 pok, 68m2, ok. Bajana, od 01.09; dolnośląskie;3300;68.0;2
Nowoczesne / 3 pok. / Centrum; Krzyki;3400;56.0;3
TĘCZOWA | 2 pok+ osobna kuchnia | 41 m2 | KLIMA |; Stare Miasto;3000;41.0;2
2 pok | | Wysoki Standard | Centrum; Stare Miasto;4000;60.0;2
4 pok | Dla rodziny | Park; Krzyki;5800;105.0;4
Mieszkanie 4-pok, biuro, siłownia, garaż Wrzesien; Nadodrze;8500;86.0;4
2 pokoje, Kamienna, okolice Ronda Powstańców Śl.; Krzyki;2400;38.0;2
LUX ! 2M z garderobą ! OD ZARAZ ! Małopanewska !; Fabryczna;3200;45.0;2
3 pokojowe, rozkład, UE, SKY Tower; Krzyki;2600;57.0;3
3 pokoje | Stalowa | Idealne dla studenta; Fabryczna;3600;48.0;3
blisko centrum, uczelnie, klimatyzacja, balkon; Śródmieście;3000;45.0;2
3 pokoje z ogródkiem + balkon/Rybnicka; Krzyki;3200;54.4;3
Ul. Krawiecka- 2 Pok. Z Tarasem W Centrum, M.P.; Stare Miasto;2700;52.4;2
POKÓJ 2 os. Borowska, Gaj, Akad. Medyczna POKÓJ2os; Krzyki;2000;20.0;3
Klimatyzowane 2 pokoje w Angel Wings; Krzyki;3000;32.0;2
Wysoki standard, 62m2, klimatyzacja, garaż; Fabryczna;3100;62.0;3
Mieszkanie 2-pok | Braniborska | Pierwszy Najem; Stare Miasto;3000;35.0;2
2pok,42m2,Krzyki, przy Ab Centrum,Śliczna,Aquapark; Krzyki;2500;42.0;2
Studio,35m2,Walońska/centrum,01.09,A/C,parking; Śródmieście;2500;35.0;1
OGRODY HALLERA Luksusowy apartament od 1 sierpnia; Fabryczna;5000;87.0;3
Atrakcyjne 2-pok, garaż, os. Lokum da Vinci, f.VAT; Fabryczna;4000;48.7;2
Wynajmę nowoczesne mieszkanie dla IT i EV Mosiężna; Fabryczna;3300;58.19;3
Wynajm mieszkania Rynek - Centrum; Stare Miasto;3500;54.0;4
Mieszkanie 47m2, 2 pok. + garaż, Oporów, Awicenny; Fabryczna;2900;47.0;2
Nowe mieszkanie w świetnej lokalizacji |Kręta|; Nadodrze;4300;56.54;2
Nowe mieszkanie - Ogród 80m² - Centrum; Nadodrze;4500;53.43;3
Premium 2 pokoje + parking Lokum Vena / B.Prusa; Śródmieście;4000;47.0;2
Blisko Dworca PKP,balkon,piwnica,miejsce parkigow.; Stare Miasto;2600;47.0;2
Mieszkanie, 20 m², Wrocław; Śródmieście;1950;20.0;1
Apartament Lux | Ogród | Stacja 22kW | Smart Home; Śródmieście;11000;91.61;3
Strawińskiego/ z garażem/od 01 sierpnia; Krzyki;2000;36.0;2
Grabiszyńka 311,3 pokoje,os.kuchnia,rozkład,park; Fabryczna;2500;48.3;3
Chopina przy parku Szczytnickim, I poziomowe,garaż; Śródmieście;5500;100.0;3
Umeblowane 3 pokoje dostępne od września; Krzyki;3700;63.0;3
Kawalerka Wrocław Stare Miasto; Stare Miasto;2300;30.0;1
Nowe nowoczesne 2 pokoje ul. Opolska; Krzyki;2500;41.0;2
Apartament Ogrody Hallera - KRZYKI, 2 pokoje, nowe; Krzyki;4300;50.0;2
Rezydencja Piasek Wyspa Piasek Staromłyńska 4; Stare Miasto;16000;150.0;3
