name;localisation;price;area
Nowa Kawalerka Nadodrze / New Studio in Downtown; Nadodrze;2400;27.0
Do wynajęcia kawalerka w centrum Wrocławia; Stare Miasto;2250;34.0
Na wynajem mieszkanie ul. Krzemieniecka Wrocław; Fabryczna;2250;36.1
Mieszkanie, 26 m², Wrocław; Krzyki;2300;26.0
Mieszkanie wynajmę na miesiąc /dwa/długi termin; Krzyki;2500;37.0
Wynajmę nowoczesny Apartament - Kleczków; Psie Pole;3300;40.0
Szczepin!_Kawalerka_27m2_Piwnica_Centrum!; Stare Miasto;2100;27.0
39 m2, miejsce postojowe, komórka lok., balkon; Stare Miasto;2500;39.0
Wynajmę nowe Mieszkanie 1 pokojowe z parkingiem; Fabryczna;2100;33.0
Bezpośrednio - Grabiszyńska, apartament i garaż; Fabryczna;2490;34.0
M 1-pokojowe dla singla lub pary. Widok na patio.; Stare Miasto;2350;28.0
ATAL TOWERS kawalerka_rezerwacja; Stare Miasto;2100;30.0
Kawalerka z balkonem/Port Popowice/ 1 lipiec; Fabryczna;2500;31.0
Luksusowa kawalerka Wrocław 36m2 + garaż podziemny; Psie Pole;2300;36.0
Do wynajęcia Mieszkanie Apartament ul. Bierutowska; Psie Pole;2200;28.0
Nowe, 32 m2, z balkonem, ul. Kurkowa, Nadodrze; Śródmieście;2500;32.0
Nowa kawalerka dla 1-2 osób, Fabryczna; Fabryczna;1950;17.0
Nowa kawalerka 26 mkw, Krzyki, ul.S.Drabika 85; Krzyki;2300;26.0
Apartament - ks. Witolda/Rynek - wysoki standard; Śródmieście;2700;31.0
Nowa kawalerka przy ul Ks. Witolda; Stare Miasto;2800;26.0
Studio,35m2,Walońska/centrum,01.09,A/C,parking; Śródmieście;2500;35.0
Mieszkanie, 20 m², Wrocław; Śródmieście;1950;20.0
Kawalerka Wrocław Stare Miasto; Stare Miasto;2300;30.0
Studio z widokiem na Ostrów Tumski i katedrę; Stare Miasto;2500;27.0
Umeblowane, idealny stan, centrum.; Krzyki;2000;31.0
Gądów - Bystrzycka | 25m2 | 1pok | balkon 6m2 |; Fabryczna;1700;25.0
Komfortowy apartament - Do Wynajęcia Od Zaraz; Psie Pole;2000;22.06
Apartament - Wrocław ul. Grunwaldzka 32 kawalerka; Śródmieście;2550;28.0
Mieszkanie na wynajem od października Dyrekcyjna 1; Krzyki;2150;17.0
Apartament| Blisko Magnolii|Dostępne od 01.08.2022; Stare Miasto;2100;24.0
Od zaraz ! Kawalerka w centrum Wrocławia; Śródmieście;2200;32.0
Przestronna kawalerka koło Sky Towera; Krzyki;3000;32.0
Nowa Kawalerka Nadodrze / New Studio in Downtown; Nadodrze;2400;27.0
Duża kawalerka, Strzegomska, centrum; Stare Miasto;2150;37.0
Kawalerka oś. ZŁOTNIKI - Kościańska 37 bez pośred.; Fabryczna;1950;29.0
Nowoczesna kawalerka na Psim Polu. BEZ PROWIZJI; Psie Pole;2050;27.0
Kawalerka Wysoka, Chabrowa; Chabrowa;1800;31.0
Przestronna kawalerka przy ul. Legnickiej/Stacyjne; Stare Miasto;2100;30.0
Pierwszy Najem*Ul.Zarembowicza*Studio; Fabryczna;2000;24.49
Wynajmę nowoczesny Apartament - Kleczków; Psie Pole;3300;40.0
Bezpośrednio - Grabiszyńska, apartament i garaż; Fabryczna;2490;34.0
Fantastyczna kawalerka.; Fabryczna;2200;25.0
Nowa kawalerka, Port Popowice, bez pośredników; Fabryczna;2500;25.0
Piękna kawalerka blisko centrum - od 1.08.2022; Fabryczna;2900;29.0
Kawalerka | 40 m2 | Most Warszawski | Balkon |; Śródmieście;2100;40.0
Do wynajęcia kawalerka z ogródkiem, nowa, meble; Krzyki;2400;26.0
Ładna kawalerka z balkonem, w pełni wyposażona; Krzyki;2000;23.0
Bez kaucji, bez prowizji!; Psie Pole;2700;24.0
Studio 27m2 Stare Miasto/Rynek/Oławska; Stare Miasto;2000;27.0
Studio z balkonem blisko Centrum/Tęczowa; Stare Miasto;2000;27.0
Kawalerka 26,6m ul. Łęczycka; Stare Miasto;2100;26.6
Do wynajęcia od zaraz - Promenady Wrocławskie 30m2; dolnośląskie;2900;30.0
Kawalerka | Oddzielna kuchnia | Balkon | parking; Fabryczna;2200;27.0
Blisko Uniwersytetu,osobna kuchnia,balkon,umeblow.; Stare Miasto;2000;35.0
